# Decoder paths each file actually reaches.
#
# Regenerate with ./make_coverage.sh, which applies src/probes.py to a
# throwaway worktree. Every probe sits on the line a README note
# refers to, so this is the evidence behind those notes: a file can
# reject for the wrong reason, and several did before being fixed.
#
# libwebp revision: 0be8ddd1

codelen-num-codes-4                      build_single_value codelen_18 complex_code num_codes_min simple_1sym 
codelen-over-capacity                    build_single_value codelen_18 complex_code num_codes_min reject_count_over_capacity simple_1sym 
codelen-oversubscribed                   build_single_value codelen_18 complex_code reject_oversubscribed simple_1sym 
codelen-repeat-past-end                  build_single_value codelen_18 codelen_18_max_run complex_code num_codes_min reject_repeat_past_end simple_1sym 
codelen-repeat16-no-previous             build_single_value codelen_16 codelen_16_default_prev codelen_18 complex_code simple_1sym 
codelen-repeat17-short-zeros             build_single_value codelen_17 codelen_17_max_run complex_code num_codes_min simple_1sym 
codelen-repeat18-138-zeros               build_single_value codelen_18 codelen_18_max_run complex_code num_codes_min simple_1sym 
codelen-single-symbol-complex-form       build_single_value codelen_18 complex_code literal_trivial_code num_codes_min simple_1sym 
codelen-two-level-table                  build_single_value build_two_level codelen_18 codelen_18_max_run complex_code literal_trivial_arb simple_1sym 
container-chunk-header-truncated         
container-duplicate-image-chunk          coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-metadata-chunks                coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-no-image-chunk                 
container-odd-chunk-no-pad               
container-odd-chunk-payload              coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-riff-size-past-end             
container-riff-size-short                
container-riff-size-truncates-chunks     
container-trailing-bytes                 coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-unknown-chunk                  coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-vp8x-animation                 
container-vp8x-area-overflow             
container-vp8x-canvas-mismatch           
container-vp8x-reserved-bits             coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-vp8x-still-flags               coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-vp8x-wrong-size                
container-vp8x                           coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-zero-size-chunk                coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
header-alpha-is-used                     alpha_is_used build_single_value literal_trivial_code simple_1sym 
header-magic-wrong                       reject_signature_magic 
header-max-area-bomb                     build_single_value header_huge_area header_width_16384 literal_trivial_code simple_1sym 
header-max-area-truncated                build_empty_code complex_code header_huge_area header_width_16384 num_codes_min 
header-version-max                       reject_signature_version 
header-version-nonzero                   reject_signature_version 
header-width-16384                       build_single_value header_width_16384 literal_trivial_code simple_1sym 
lossless-all-features                    build_single_value cache_index codelen_18 codelen_18_max_run complex_code literal_trivial_code lz77_copy meta_group_switch meta_huffman meta_precision_min num_codes_min pred_first_row pred_mode_0 simple_1sym simple_2sym subimage_stream tf_bits_min tf_color_indexing tf_cross_color tf_predictor tf_subtract_green 
lossless-plain                           build_single_value complex_code literal_four_channels simple_1sym 
lossy-1-partitions                       bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_cat6 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_1 proba_update proba_zero quant_delta quant_segment_absolute segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 uvmode_2 uvmode_3 wht_dc_only wht_full ymode_0 ymode_1 ymode_2 ymode_3 
lossy-2-partitions                       bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_cat6 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_2 proba_update proba_zero quant_delta quant_segment_absolute segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 uvmode_2 uvmode_3 wht_dc_only wht_full ymode_0 ymode_1 ymode_2 ymode_3 
lossy-4-partitions                       bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_cat6 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_4 proba_update proba_zero quant_delta quant_segment_absolute segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 uvmode_2 uvmode_3 wht_dc_only wht_full ymode_0 ymode_1 ymode_2 ymode_3 
lossy-8-partitions-size-overflow         error:cannot-parse-partitions parts_8 parts_no_data_left parts_psize_clamped parts_psize_zero 
lossy-8-partitions-sizes-sum-past-end    error:cannot-parse-partitions parts_8 parts_no_data_left parts_psize_clamped parts_psize_zero 
lossy-8-partitions-zero-sizes            bmode_0 bmode_1 bmode_3 bmode_4 bmode_6 bmode_8 bmode_9 error:Premature-end-of-file-encountered. mb_i16 mb_i4x4 parts_8 parts_psize_zero proba_update proba_zero quant_delta quant_segment_absolute segment_id_2 segment_id_3 uvmode_0 uvmode_3 wht_empty ymode_0 ymode_1 
lossy-8-partitions                       bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_cat6 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_8 proba_update proba_zero quant_delta quant_segment_absolute segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 uvmode_2 uvmode_3 wht_dc_only wht_full ymode_0 ymode_1 ymode_2 ymode_3 
lossy-coeff-all-types                    bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_1 uvmode_0 uvmode_1 wht_full ymode_0 
lossy-coeff-bands-chroma                 coeff_cat3 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
lossy-coeff-bands-i16                    coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_full ymode_0 
lossy-coeff-bands-i4                     bmode_0 coeff_v3_4 mb_i4x4 parts_1 uvmode_0 
lossy-coeff-cat3                         bmode_0 coeff_cat3 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-cat4                         bmode_0 coeff_cat4 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-cat5                         bmode_0 coeff_cat5 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-cat6-max                     bmode_0 coeff_cat6 coeff_max mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-cat6                         bmode_0 coeff_cat6 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-context                      bmode_0 coeff_v3_4 mb_i4x4 parts_1 uvmode_0 
lossy-coeff-empty-blocks                 mb_i16 parts_1 uvmode_0 wht_empty ymode_0 
lossy-coeff-full-block                   bmode_0 coeff_cat3 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-medium-magnitudes            bmode_0 coeff_v5_6 coeff_v7_10 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-small-magnitudes             bmode_0 coeff_v2 coeff_v3_4 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-wht-full                     coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 parts_1 uvmode_0 wht_dc_only wht_full ymode_0 
lossy-coeff-zero-runs                    bmode_0 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
