# Decoder paths each file actually reaches.
#
# Regenerate with ./make_coverage.sh, which applies probes.py to a
# throwaway worktree. Every probe sits on the line a README note
# refers to, so this is the evidence behind those notes: a file can
# reject for the wrong reason, and several did before being fixed.
#
# libwebp revision: 0be8ddd1

lossy-proba-skip-extremes                coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 skip_proba uvmode_0 uvmode_3 wht_dc_only wht_empty ymode_0 ymode_2 
lossy-proba-zero                         coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 proba_255 proba_update proba_zero uvmode_0 uvmode_3 wht_dc_only wht_empty ymode_0 ymode_2 
lossy-quant-deltas-mirrored              coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 quant_delta uvmode_0 wht_dc_only ymode_0 
lossy-quant-deltas                       coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 quant_delta uvmode_0 uvmode_3 wht_empty wht_full ymode_0 ymode_2 
lossy-quant-dequant-overflow             bmode_0 coeff_cat6 coeff_max mb_i4x4 parts_1 quant_max quant_uv_dc_clamped_at_117 uvmode_0 
lossy-quant-max                          coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 quant_max quant_uv_dc_clamped_at_117 uvmode_0 uvmode_3 wht_empty wht_full ymode_0 ymode_2 
lossy-quant-min                          coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 quant_min quant_y2_ac_floor uvmode_0 uvmode_3 wht_empty wht_full ymode_0 ymode_2 
lossy-quant-uv-dc-clamp                  coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 quant_delta quant_uv_dc_clamped_at_117 uvmode_0 uvmode_3 wht_empty wht_full ymode_0 ymode_2 
lossy-segment-delta-quantizers           coeff_cat4 mb_i16 parts_1 quant_segment_delta segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 wht_dc_only ymode_0 
lossy-segment-filter-strengths           coeff_cat3 coeff_cat4 coeff_v5_6 coeff_v7_10 mb_i16 parts_1 quant_segment_absolute segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 uvmode_1 uvmode_2 uvmode_3 wht_dc_only ymode_0 ymode_1 ymode_2 ymode_3 
lossy-segment-four-quantizers            coeff_cat3 coeff_cat4 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 parts_1 quant_segment_absolute quant_uv_dc_clamped_at_117 segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 uvmode_1 uvmode_2 uvmode_3 wht_dc_only ymode_0 ymode_1 ymode_2 ymode_3 
lossy-segment-map-only                   coeff_cat3 mb_i16 parts_1 quant_segment_absolute quant_y2_ac_floor segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 wht_dc_only wht_empty ymode_0 
lossy-segment-no-map                     coeff_cat4 mb_i16 parts_1 quant_segment_absolute quant_uv_dc_clamped_at_117 uvmode_0 uvmode_1 wht_dc_only wht_empty ymode_0 ymode_1 
lossy-segment-prob-extremes              coeff_cat3 coeff_cat4 coeff_v7_10 mb_i16 parts_1 quant_segment_absolute segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 wht_dc_only ymode_0 ymode_1 ymode_2 ymode_3 
lossy-segment-quant-extremes             coeff_cat4 mb_i16 parts_1 quant_segment_absolute quant_uv_dc_clamped_at_117 quant_y1_dc_clipped quant_y2_ac_floor segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 wht_dc_only ymode_0 
lossy-skip-all                           mb_i16 mb_skip_flag mb_skipped parts_1 skip_proba uvmode_0 ymode_0 
lossy-skip-i4x4-nz-dc                    bmode_0 coeff_cat3 coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 mb_i4x4 mb_skip_flag mb_skipped parts_1 skip_i4x4_keeps_nz_dc skip_proba uvmode_0 wht_full ymode_0 
lossy-skip-mixed                         coeff_cat3 coeff_cat4 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_skip_flag mb_skipped parts_1 skip_proba uvmode_0 uvmode_1 uvmode_2 uvmode_3 wht_dc_only ymode_0 ymode_1 ymode_2 ymode_3 
lossy-truncated-header                   error:cannot-parse-filter-header 
lossy-truncated-modes                    bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 error:Premature-end-of-partition0-encountered. mb_i4x4 parts_1 uvmode_0 
lossy-truncated-short-modes              bmode_0 mb_i16 mb_i4x4 mb_skip_flag mb_skipped parts_1 skip_proba uvmode_0 ymode_0 
lossy-truncated-tokens                   coeff_cat3 coeff_cat4 coeff_v3_4 coeff_v7_10 error:Premature-end-of-file-encountered. mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty wht_full ymode_0 ymode_2 ymode_3 
lz77-distance-1-run                      build_single_value codelen_18 codelen_18_max_run complex_code lz77_copy num_codes_min simple_1sym 
lz77-distance-direct-121                 build_single_value codelen_18 codelen_18_max_run complex_code dist_direct lz77_copy num_codes_min simple_1sym 
lz77-distance-past-start                 build_single_value codelen_18 codelen_18_max_run complex_code dist_plane_code_1 lz77_copy num_codes_min simple_1sym 
lz77-length-past-end                     build_single_value codelen_18 codelen_18_max_run complex_code dist_direct lz77_copy num_codes_min simple_1sym 
lz77-max-length-symbol                   build_single_value codelen_18 codelen_18_max_run complex_code lz77_copy lz77_max_len_sym num_codes_min simple_1sym 
